digits,num1,num2,sum,question,question_en
2,15,72,87,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:15+72","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 15 + 72"
2,23,55,78,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:23+55","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 23 + 55"
2,63,33,96,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:63+33","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 63 + 33"
2,77,11,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:77+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 77 + 11"
2,33,64,97,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:33+64","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 33 + 64"
2,59,40,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:59+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 59 + 40"
2,63,14,77,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:63+14","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 63 + 14"
2,81,11,92,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:81+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 81 + 11"
2,32,66,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:32+66","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 32 + 66"
2,26,43,69,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:26+43","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 26 + 43"
2,58,10,68,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:58+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 58 + 10"
2,55,12,67,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:55+12","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 55 + 12"
2,72,20,92,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:72+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 72 + 20"
2,58,20,78,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:58+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 58 + 20"
2,58,20,78,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:58+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 58 + 20"
2,62,30,92,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:62+30","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 62 + 30"
2,67,10,77,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:67+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 67 + 10"
2,64,10,74,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:64+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 64 + 10"
2,49,10,59,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:49+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 49 + 10"
2,81,12,93,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:81+12","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 81 + 12"
2,88,11,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:88+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 88 + 11"
2,73,15,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:73+15","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 73 + 15"
2,56,33,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:56+33","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 56 + 33"
2,81,13,94,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:81+13","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 81 + 13"
2,25,14,39,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:25+14","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 25 + 14"
2,49,20,69,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:49+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 49 + 20"
2,20,21,41,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:20+21","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 20 + 21"
2,15,24,39,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:15+24","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 15 + 24"
2,44,41,85,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:44+41","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 44 + 41"
2,39,50,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:39+50","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 39 + 50"
2,47,40,87,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:47+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 47 + 40"
2,21,66,87,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:21+66","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 21 + 66"
2,66,23,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:66+23","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 66 + 23"
2,11,16,27,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:11+16","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 11 + 16"
2,61,13,74,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:61+13","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 61 + 13"
2,48,40,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:48+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 48 + 40"
2,72,27,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:72+27","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 72 + 27"
2,41,48,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:41+48","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 41 + 48"
2,20,68,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:20+68","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 20 + 68"
2,11,42,53,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:11+42","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 11 + 42"
2,77,20,97,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:77+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 77 + 20"
2,70,16,86,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:70+16","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 70 + 16"
2,16,53,69,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:16+53","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 16 + 53"
2,56,41,97,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:56+41","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 56 + 41"
2,44,20,64,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:44+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 44 + 20"
2,15,10,25,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:15+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 15 + 10"
2,88,10,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:88+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 88 + 10"
2,22,11,33,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:22+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 22 + 11"
2,46,11,57,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:46+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 46 + 11"
2,19,20,39,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:19+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 19 + 20"
2,64,15,79,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:64+15","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 64 + 15"
2,63,23,86,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:63+23","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 63 + 23"
2,34,42,76,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:34+42","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 34 + 42"
2,20,49,69,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:20+49","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 20 + 49"
2,21,53,74,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:21+53","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 21 + 53"
2,52,31,83,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:52+31","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 52 + 31"
2,45,31,76,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:45+31","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 45 + 31"
2,88,10,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:88+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 88 + 10"
2,51,24,75,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:51+24","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 51 + 24"
2,21,68,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:21+68","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 21 + 68"
2,34,34,68,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:34+34","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 34 + 34"
2,45,22,67,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:45+22","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 45 + 22"
2,84,10,94,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:84+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 84 + 10"
2,74,10,84,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:74+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 74 + 10"
2,62,34,96,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:62+34","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 62 + 34"
2,37,52,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:37+52","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 37 + 52"
2,78,10,88,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:78+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 78 + 10"
2,22,50,72,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:22+50","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 22 + 50"
2,69,30,99,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:69+30","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 69 + 30"
2,72,14,86,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:72+14","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 72 + 14"
2,60,23,83,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:60+23","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 60 + 23"
2,41,38,79,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:41+38","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 41 + 38"
2,79,10,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:79+10","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 79 + 10"
2,32,40,72,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:32+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 32 + 40"
2,35,41,76,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:35+41","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 35 + 41"
2,52,16,68,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:52+16","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 52 + 16"
2,17,40,57,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:17+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 17 + 40"
2,85,11,96,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:85+11","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 85 + 11"
2,40,26,66,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:40+26","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 40 + 26"
2,64,12,76,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:64+12","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 64 + 12"
2,68,21,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:68+21","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 68 + 21"
2,11,52,63,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:11+52","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 11 + 52"
2,50,19,69,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:50+19","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 50 + 19"
2,75,23,98,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:75+23","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 75 + 23"
2,26,51,77,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:26+51","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 26 + 51"
2,50,40,90,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:50+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 50 + 40"
2,45,40,85,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:45+40","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 45 + 40"
2,69,20,89,"列竖式计算表达式的值，计算结果放 \boxed{} 中，例如结果为2, 写成 \boxed{2}。表达式:69+20","Perform vertical addition to calculate the value of the expression, place the result inside \boxed{}. For example, if the result is 2, write it as \boxed{2}. Expression: 69 + 20"
